date,day_of_week,location,meal,station_id,item_name,calories,description,allergens
2026-09-22,Tuesday,63 South,lunch,3105,Herb Roasted Pork Loin,186,"Slow-roasted pork loin seasoned with thyme, sage and garlic",Contains: 
2026-09-22,Tuesday,63 South,lunch,3105,Tossed Salad,28,"Crisp romaine lettuce tossed with fresh cucumber, carrot, onion and light Italian dressing",Contains: 
2026-09-22,Tuesday,63 South,lunch,3105,Seasoned Fresh Zucchini,16,Steamed fresh zucchini slices seasoned with garlic and herbs,Contains: 
2026-09-22,Tuesday,63 South,lunch,3105,Chocolate Chunk  Cookie,188,Allergen friendly baked chocolate   chip cookie,Contains: 
2026-09-22,Tuesday,63 South,lunch,3105,Crinkle Cut French Fries,,Piping hot crispy crinkle cut French fries,Contains: 
2026-09-22,Tuesday,63 South,lunch,3108,Rotisserie-Style Chicken,527,"Slow roasted to juicy perfection bone-in chicken, coated with a savor blend of rotisserie seasoning",Contains: 
2026-09-22,Tuesday,63 South,lunch,3108,Zucchini & Yellow Squash Saute,62,"Fresh zucchini, yellow squash and onions seasoned with basil, parsley and thyme",Contains: 
2026-09-22,Tuesday,63 South,lunch,3108,Roasted Red Potatoes,100,Oven-roasted and fork tender baby red potatoes,Contains: 
2026-09-22,Tuesday,63 South,lunch,3102,Baked Chipotle-Orange Chicken,188,Baked boneless chicken breast coated with a spicy Latin seasoning mix and chipotle-orange glaze,Complete allergen information is not available. Please contact the on-site manager for assistance.
2026-09-22,Tuesday,63 South,lunch,3102,Broccoli & Cauliflower,17,Steamed broccoli and cauliflower,Contains: 
2026-09-22,Tuesday,63 South,lunch,3102,Yellow Rice,141,Savory long grain rice cooked in vegetable broth with turmeric,Contains: 
2026-09-22,Tuesday,63 South,lunch,3120,Spaghetti,107,Fresh cooked al dente spaghetti,Contains: Wheat
2026-09-22,Tuesday,63 South,lunch,3114,Sausage Pizza,332,"Italian sausage, mozzarella, and pizza sauce",Complete allergen information is not available. Please contact the on-site manager for assistance.
2026-09-22,Tuesday,63 South,lunch,3114,Classic Cheese Pizza,,House-made pizza dough topped with rich tomato sauce and a generous layer of melted mozzarella,"Contains: Milk, Wheat"
2026-09-22,Tuesday,63 South,lunch,3114,Pepperoni Pizza,,"House-made pizza dough topped with crispy pepperoni slices, rich tomato sauce and mozzarella cheese","Contains: Milk, Wheat"
2026-09-22,Tuesday,63 South,lunch,3096,Grilled Black Bean Burger,257,"Gardenburger® black bean burger served hot-off-the-grill on a fresh, soft bun",Complete allergen information is not available. Please contact the on-site manager for assistance.
2026-09-22,Tuesday,63 South,lunch,3096,Hamburger,317,"Juicy all-beef burger served hot-off-the-grill on a fresh, soft bun",Complete allergen information is not available. Please contact the on-site manager for assistance.
2026-09-22,Tuesday,63 South,lunch,3096,Crinkle Cut French Fries,,Piping hot crispy crinkle cut French fries,Contains: 
2026-09-22,Tuesday,63 South,lunch,3090,"WRAP, HAM, 63' SOUTH 10"" HALF",120,"Ham, cheddar, lettuce and tomato in a tortilla wrap",Contains: Wheat
2026-09-22,Tuesday,63 South,lunch,3090,"WRAP, TURKEY, CLUB, 63' SOUTH, HALF",121,"Turkey, lettuce, tomato on a flour tortilla",Contains: Wheat
2026-09-22,Tuesday,63 South,lunch,273449,Tortilla Chips,282,House-made crunchy corn tortilla chips,Contains: 
2026-09-22,Tuesday,63 South,lunch,273044,Made without gluten Penne,99,Fresh cooked al dente made-without-gluten tube pasta,Contains: 
2026-09-22,Tuesday,63 South,lunch,3117,Chipotle Chicken Tortilla Soup,,"Chicken, corn tortillas, tomatoes, onion, garlic, chipotle pepper and cumin in a chicken broth",Contains: Wheat
2026-09-22,Tuesday,63 South,lunch,3117,Vegetable Bean Soup,,"Great Northern beans, tomatoes, carrots, celery, onions, garlic and dill simmered in vegetable broth",Contains: 
2026-09-22,Tuesday,63 South,lunch,3111,Chocolate Chip Cookie,121,"Chocolate chip cookies, perfectly melted, creating gooey rich chocolate in every bite","Contains: Milk, Wheat, Soy, Eggs"
2026-09-22,Tuesday,63 South,lunch,3111,Snickerdoodle Cookie,126,"Buttery cookie offers a soft, chewy center and topped with a sweet cinnamon-sugar coating","Contains: Milk, Wheat, Soy, Eggs"
2026-09-22,Tuesday,63 South,lunch,293477,Orange Juice,56,Orange 100% juice,Complete allergen information is not available. Please contact the on-site manager for assistance.
2026-09-22,Tuesday,Knightros,lunch,3066,Cilantro-Lime Pulled Chicken,167,Tender chicken thigh braised with Southwest spices and finished with lime juice and cilantro,Contains: 
2026-09-22,Tuesday,Knightros,lunch,3066,Zucchini & Yellow Squash Saute,62,"Fresh zucchini, yellow squash and onions seasoned with basil, parsley and thyme",Contains: 
2026-09-22,Tuesday,Knightros,lunch,3066,Old-Fashioned Coleslaw,149,Green cabbage and carrots tossed in a traditional creamy dressing,Contains: Eggs
2026-09-22,Tuesday,Knightros,lunch,3066,Potato Salad,142,Creamy potato salad,Contains: Eggs
2026-09-22,Tuesday,Knightros,lunch,3066,Roasted Potatoes,115,Oven-roasted seasoned potato quarters,Contains: Milk
2026-09-22,Tuesday,Knightros,lunch,3075,Roasted Pork Loin,183,Seasoned oven-roasted pork loin,Contains: 
2026-09-22,Tuesday,Knightros,lunch,3075,Seasoned Carrots,57,Steamed carrot slices tossed with seasoning,"Contains: Milk, Soy"
2026-09-22,Tuesday,Knightros,lunch,3075,Red Beans & Rice,130,"Tender rice and red beans simmered with green bell peppers, onion and garlic",Contains: 
2026-09-22,Tuesday,Knightros,lunch,3084,Classic Cheese Pizza,276,House-made pizza dough topped with rich tomato sauce and generous layer of melted mozzarella cheese,"Contains: Milk, Wheat"
2026-09-22,Tuesday,Knightros,lunch,3084,Pepperoni Pizza,302,Generous layer of crispy pepperoni slices atop a house-made tomato sauce and melted mozzarella,"Contains: Milk, Wheat"
2026-09-22,Tuesday,Knightros,lunch,3084,Spinach Tomato Pizza,268,"Sauteed spinach, tomato-basil topping, mozzarella, and pizza sauce",Complete allergen information is not available. Please contact the on-site manager for assistance.
